Air temperature K,Process temperature K,Rotational speed rpm,Torque Nm,Tool wear min,TWF,HDF,PWF,OSF,RNF,Type_encoded
0.16834886,-0.9330992,-3.0088818,-3.3357627,-1.5054958,-0.33870286,-0.34652153,-0.4070147,-0.16844273,0.0,-0.24296094
-2.5163736,0.25450903,-1.4021488,-0.5499619,-0.96901023,-0.11701097,-0.44057286,-0.37459454,-0.42836,0.0,-2.145292
-0.66617537,-0.97550476,-1.7750909,-3.1755896,-2.0727966,-0.26773873,-0.35546196,-0.38966814,-0.19566132,0.0,0.046005268
-1.1473634,-1.3383762,-1.5946345,-2.1504104,2.0262842,-0.92487544,-0.25021628,-0.25702518,-0.17858389,0.0,-1.208197
-0.5601891,-1.3595495,-1.2153422,-3.356775,-1.8402972,-0.23172452,-0.34563756,-0.40721214,-0.17888926,0.0,0.114273936
0.010715976,-0.5065292,-2.511934,-3.4273615,-1.5239465,-0.31558496,-0.3395463,-0.39250517,-0.16285472,0.0,0.11153707
-0.42343387,-1.3686614,0.8963341,-1.1308451,-1.4948092,-0.12743738,-0.41387314,-0.31589088,-0.28785843,0.0,0.042588353
-0.83989877,0.3465659,1.0769411,0.6502198,-0.97421855,-0.12676547,-0.29857388,-0.30531174,-0.3153704,0.0,0.60261804
1.7461888,-0.32426214,0.63400495,0.39667684,0.042476553,-0.14315851,4.5193233,-0.18575342,-0.17104563,0.0,-1.7167754
-0.05902558,-0.71974826,-2.194895,-3.0568476,0.019239359,-0.28199264,-0.3130072,-0.32083175,-0.16933455,0.0,0.12482778
-0.07861728,0.32196742,-2.0076091,-2.8914666,-1.8996838,-0.2419462,-0.3205755,-0.3963345,-0.17609772,0.0,-0.08395522
-2.2202168,-1.4588265,-0.9978263,-1.6067255,-2.1807072,-0.114375874,-0.48415568,-0.33074552,-0.5176715,0.0,0.058211252
-0.23307021,0.16444135,-2.1423182,-3.3233109,-1.4942039,-0.3341153,-0.3486218,-0.4439447,-0.17204054,0.0,-1.1295899
-0.07403482,-1.9704854,-1.5361116,-2.8357525,-1.5598536,-0.282756,-0.37529153,-0.43760458,-0.19191197,0.0,-1.134352
-1.0271624,0.31030786,0.31547317,-0.30577844,-1.7296671,-0.103867695,-0.38915604,-0.28576934,-0.45253217,0.0,0.08808009
-0.42404363,-0.8951328,0.58133054,-1.0748655,-1.2252187,-0.18803133,-0.30845016,-0.43417433,-0.17713276,0.0,0.13833639
0.3071993,-0.77045685,-0.492578,-1.6419251,-1.192078,-0.19362137,-0.3015475,-0.3095126,-0.18066879,0.0,0.15191697
-0.51006925,-1.28968,-2.2269762,-3.4946952,-1.6587276,-0.31994483,-0.34981558,-0.42576042,-0.16930182,0.0,0.0930128
-0.76650137,-1.7542667,0.28304383,-1.7267282,-2.0653377,-0.18489648,-0.31313065,-0.35568956,-0.18727337,0.0,0.07786492
0.6877483,-3.5828476,0.4384014,-0.086705506,-1.1655494,-0.1333299,-0.37619635,-0.24342382,-0.4573365,0.0,-0.17812778
-0.9644899,-0.57305247,-0.044726938,1.53959,2.521182,-0.14207965,-0.14761193,-0.13222031,3.7999783,0.0,0.20339951
0.13985585,-1.1333219,-1.9447355,-3.332375,-2.1213427,-0.24818371,-0.34666324,-0.42404628,-0.16733834,0.0,0.12511748
-0.1626101,-0.9673312,-0.542445,0.47321296,-1.198946,-0.09968757,-0.3661431,-0.26746464,-0.3492981,0.0,0.141267
0.22704834,-0.69653666,-2.4361467,-0.7676024,-1.6430268,-0.16223733,-0.46247968,-0.43592748,-0.21670312,0.0,-1.6425627
-0.6222299,-1.9882537,-1.812134,-2.2540069,-2.2170587,-0.2768911,-0.31895158,-0.4501169,-0.17455848,0.0,-0.08706562
-0.06303966,-0.7794641,-1.1761186,-2.9779124,-0.34876642,-0.3115421,-0.3455395,-0.38230976,-0.16551784,0.0,-1.4783664
0.11662404,-0.68426424,0.7458694,-2.0658133,-1.5376201,-0.18147396,-0.40464243,-0.23611589,-0.19573443,0.0,0.14252612
0.16365598,-0.46904695,-2.5424542,-2.9769256,-2.1652231,-0.26908085,-0.35418767,-0.4525617,-0.16641352,0.0,-0.98559636
-1.484287,-1.0750054,-0.5688198,-2.577296,-2.1586318,-0.23721242,-0.3495501,-0.3943003,-0.2017312,0.0,0.06905014
-0.14254467,-1.7100779,-0.97974634,-2.7196405,-1.0903862,-0.30093044,-0.36495152,-0.41631287,-0.18949178,0.0,-1.2101293
-1.1542536,-0.68508327,0.117725134,-2.785735,0.046580724,-0.31098646,-0.3426369,-0.3423849,-0.19335335,0.0,-1.4847533
-0.10802034,0.2675176,-1.6910942,-3.16261,-0.25704437,-0.30697078,-0.33264735,-0.36217692,-0.15575103,0.0,-1.3871056
-0.458215,-0.94818556,0.93907785,-0.888157,-0.8666819,-0.13353263,-0.33237216,-0.3046214,-0.1945185,0.0,0.0022499133
0.5434268,-0.92853886,-1.3180696,-3.3571484,-1.7480141,-0.22980455,-0.3460073,-0.38067707,-0.16240636,0.0,0.15200341
-1.3841652,-0.12816294,-0.9129276,-2.9882944,-1.4856073,-0.2642482,-0.3523676,-0.41558638,-0.181636,0.0,-1.478081
0.41598427,-1.1324723,-2.741385,-3.3186986,-1.5750316,-0.3425927,-0.35268003,-0.44072822,-0.18096744,0.0,-0.022328781
-0.51608205,0.4438486,-0.35151067,-3.6347811,-0.5262451,-0.2698316,-0.29498634,-0.29337168,-0.18288828,0.0,0.14109637
-0.6378871,-1.8966054,-1.7405963,-2.5325012,-1.7734183,-0.27790943,-0.3675071,-0.45225295,-0.19190508,0.0,-0.75436234
-1.0002801,-1.3663666,-1.6876664,-1.550617,-2.3417997,-0.13602908,-0.444911,-0.42899603,-0.30465895,0.0,0.08998945
-0.4719185,-0.78118664,-1.4679546,-2.2314959,2.6365025,-0.94167244,-0.23080774,-0.21369442,-0.17623098,0.0,0.19803214
-1.3954709,-0.6719051,-0.69177055,-2.9483347,-1.1370589,-0.31534833,-0.3616872,-0.37679377,-0.19965965,0.0,-0.18767512
-0.4163479,0.119508855,-1.060088,-2.5788486,2.7532032,-0.6657087,-0.21685,-0.20878458,-0.15068273,0.0,-0.6225394
-0.84693563,-0.94949996,-1.541102,-2.900705,-1.440317,-0.32922179,-0.36686286,-0.42104167,-0.18603511,0.0,-1.2580278
0.23103926,-0.453516,-2.8898718,-3.4668686,-1.5600201,-0.31791544,-0.347451,-0.43012923,-0.1674784,0.0,0.1126201
-0.22312118,0.16295737,-1.8911221,-2.8461592,-2.1041377,-0.22952712,-0.32317346,-0.39315844,-0.17519243,0.0,0.045118935
-0.27746648,0.37086493,-2.199166,-3.4706938,-1.6455412,-0.30615622,-0.33366466,-0.40920228,-0.17343932,0.0,0.06433721
-0.57122517,-0.6843846,-1.0854195,-3.0527232,-1.5167358,-0.26942638,-0.35986203,-0.43111184,-0.18408449,0.0,-1.292953
0.53031707,-0.4045611,-2.2641652,-0.5648085,-1.8289084,-0.1311743,-0.37628546,-0.40458682,-0.2334041,0.0,0.12442076
-0.92988044,0.44745478,0.9219503,-1.600357,-1.5524782,-0.16913484,-0.3015789,-0.28531343,-0.17833735,0.0,0.11051826
0.14392307,-0.9508501,-1.7930683,-0.8569889,-1.8459332,-0.13511682,-0.36536825,-0.38172603,-0.20466895,0.0,0.16318537
-0.48894417,-0.7706754,-1.7924066,-3.4154637,-1.6317844,-0.26131585,-0.3331472,-0.42027125,-0.17103022,0.0,-0.049357966
-2.2553546,-0.602033,-1.289699,-2.0051107,-1.9030232,-0.17421013,-0.47513518,-0.40138042,-0.26199734,0.0,-1.6581591
0.85253465,-1.8720853,-1.6219465,-3.1355329,-2.086509,-0.2348321,-0.3567308,-0.41662094,-0.18504307,0.0,0.10502746
-0.917705,-0.26261422,-1.9467173,-3.221093,-1.6826258,-0.32899326,-0.3707309,-0.4550763,-0.18659425,0.0,-1.4003816
-0.9596346,0.030929971,0.34439892,-0.7997441,-1.5388563,-0.11459915,-0.41057798,-0.30530107,-0.395931,0.0,0.30798355
-1.7403275,-0.66975677,-0.5994092,-0.34511507,-1.3489705,-0.14695199,-0.4465204,-0.38768739,-0.36593765,0.0,-1.8220937
-0.20816006,-0.454068,-1.2817322,-3.5175161,-2.3610778,-0.22457097,-0.34173378,-0.4156444,-0.1772982,0.0,0.107299685
-0.5270215,0.26028854,-2.2318819,-3.4833426,-1.4506221,-0.33661294,-0.33016685,-0.41910324,-0.17662099,0.0,0.21845843
-0.064801216,-0.6634374,-1.1889987,-2.2211223,-1.9843326,-0.23899421,-0.33824325,-0.41578034,-0.17871644,0.0,-0.7364176
-0.22314826,0.45517784,-1.6084069,-3.4021072,-2.1589835,-0.26991957,-0.3510637,-0.44603232,-0.1716298,0.0,-1.2181315
-1.3281114,-1.2869422,-1.5038459,-0.85810745,-1.612319,-0.15864001,-0.46532553,-0.4514396,-0.342647,0.0,-1.7694498
-0.02294667,-0.52459246,-0.8703449,-0.5269857,-1.376939,-0.124176286,-0.36334664,-0.32825345,-0.24995382,0.0,0.08763779
-1.407819,-0.7919429,-1.0220948,-3.29377,-1.9460303,-0.25362572,-0.3685852,-0.41358623,-0.2006176,0.0,0.0869766
-0.010633713,-0.49300674,-2.2357697,-3.038926,-0.7657254,-0.3466203,-0.3583277,-0.40757966,-0.16182452,0.0,-1.1707653
-0.99148065,-1.6342888,-1.1654042,-1.1439626,-1.124066,-0.14148876,-0.42233142,-0.3714554,-0.34499136,0.0,0.15556264
-1.3814315,-0.8070185,-1.3425593,-3.198083,-1.6851774,-0.25368625,-0.36869615,-0.40292808,-0.20160007,0.0,0.11101254
0.51364243,-0.8007641,-1.2028203,-0.054559384,-2.0379667,-0.12254584,-0.35271832,-0.34344465,-0.31867078,0.0,0.09488643
0.7479913,-0.67529356,-2.2739944,-0.81249326,-1.6283121,-0.1683778,-0.44776928,-0.43733594,-0.20400743,0.0,-1.3610731
-0.668552,-1.0470951,-0.9493603,-3.2911747,-2.4065316,-0.2379236,-0.35619864,-0.40529644,-0.1939998,0.0,0.10807378
-0.23716286,-0.5717344,-0.75055736,-3.2236807,-2.2607715,-0.23175387,-0.3470896,-0.4030053,-0.1859327,0.0,0.14724517
-0.91238356,-2.1946502,-1.2402737,-3.4045112,-2.4057915,-0.23869976,-0.35521084,-0.4451924,-0.19370198,0.0,0.11436587
-1.4535059,-1.384265,-1.5522729,-1.7710234,-1.7084025,-0.17784995,-0.50242895,-0.45725712,-0.26353428,0.0,-1.6254785
-0.49049494,-0.90938073,-1.9474827,-3.3728778,-1.3038391,-0.31894922,-0.3490092,-0.3919775,-0.17349875,0.0,0.14153822
-1.6377131,-0.8403058,-0.90143895,-3.5009215,-1.684437,-0.2519627,-0.3650672,-0.38405004,-0.22590661,0.0,-0.008389788
0.009139966,0.28400713,-0.8743005,-3.104105,-2.196041,-0.29779002,-0.34473252,-0.4225564,-0.1720437,0.0,-1.0790205
-0.2590887,-1.1127388,-1.2912076,-2.5751424,-1.865743,-0.2349399,-0.33984938,-0.39089596,-0.19240427,0.0,0.095240876
-1.5276557,-0.77911466,-1.3666689,-2.9137812,2.5454216,-0.60426325,-0.30659425,-0.2117688,-0.25097495,0.0,0.19028905
-1.105315,0.35675678,-1.5788845,-2.494369,-1.9558847,-0.24325949,-0.33650833,-0.42984268,-0.17547601,0.0,-1.2265553
-0.6430349,-1.776463,-1.362705,-2.3500648,0.114947185,-0.26020694,-0.316518,-0.31437236,-0.192284,0.0,0.10328452
-1.5368477,-0.89705455,-1.2330511,-3.1658168,-2.4532988,-0.29479778,-0.36765498,-0.44013143,-0.199507,0.0,0.06371405
-1.7364455,-0.6931053,-1.5375787,-3.0460129,-1.4626604,-0.33942616,-0.38337064,-0.4375793,-0.19676384,0.0,-1.2565012
-0.5070005,-1.101794,-1.5750588,-1.2576797,-2.0117564,-0.16704391,-0.3467029,-0.4231825,-0.20366758,0.0,-0.0064699086
-0.48020405,-0.67159665,-0.5481697,-3.6693094,-1.4806154,-0.24007665,-0.33317873,-0.35465705,-0.2058524,0.0,0.43883893
-1.8010126,-0.8824864,-1.5122416,-1.6134413,-2.1752605,-0.14352044,-0.44583514,-0.3994301,-0.3072038,0.0,0.14353478
-0.6004612,-0.63294697,-1.0809077,-1.4411752,-0.8432657,-0.15436716,-0.333421,-0.3648237,-0.198957,0.0,0.18358652
-0.27054447,-1.8909582,-2.1956396,-2.9433138,-1.579471,-0.32376826,-0.3591243,-0.41314498,-0.19681004,0.0,0.123719364
-1.597132,-0.7532643,-1.3572923,-2.9716818,-2.1869986,-0.3174378,-0.38193324,-0.46616474,-0.19637674,0.0,-1.2020117
-0.0005689616,0.37894693,-1.1292576,-2.7074451,-2.7588391,-0.23528695,-0.31289822,-0.40176353,-0.17373466,0.0,0.09719622
-2.4086423,0.024645815,-0.0814102,-1.699009,-1.9662704,-0.12377056,-0.4159423,-0.3396149,-0.35328004,0.0,0.022441288
0.6120394,-1.0763525,-1.1844755,-2.1264637,2.6926532,-0.6083306,-0.21670428,-0.20772634,-0.16582711,0.0,0.15970431
-0.30443218,-1.1439108,-1.9892994,-1.169117,-1.600679,-0.14227982,-0.3526471,-0.40581173,-0.17654769,0.0,0.09535828
-2.0007732,-1.3412181,-0.8698964,-0.61206234,-2.313522,-0.13735561,-0.39375797,-0.36052698,-0.42547792,0.0,0.04191666
-0.46680355,-0.68977857,-1.9414496,-3.108174,-1.210229,-0.3388344,-0.36366442,-0.42735046,-0.16758649,0.0,-1.2059436
0.30803096,-0.72467786,-1.7439511,-3.411728,-2.1328793,-0.2354578,-0.34978187,-0.40058085,-0.16708457,0.0,0.12457609
0.7699723,-0.36096665,-1.7441832,-0.42727056,-0.954247,-0.16367497,-0.44651702,-0.39269516,-0.24349679,0.0,-1.6290858
-0.67278796,-0.47034273,-1.3599919,-3.4660344,-2.0777798,-0.22400792,-0.33738846,-0.41275585,-0.17840798,0.0,0.16187088
-0.37215692,0.42550403,-1.8482596,-3.505585,-2.7184787,-0.3182637,-0.3316996,-0.41993645,-0.17492339,0.0,-0.06939101
-1.366039,-0.82621986,-1.8752506,-3.3258934,-1.7813885,-0.32392198,-0.36900765,-0.4166183,-0.20014459,0.0,0.07861289
